date,AAPL,AET,AIG,DIS,GIS,HES,HON,INTC,JPM,LLY,LMT,MCD,NKE,NUE,SYY,T
1990-01-03,0.06896573032102285,0.03508771929824561,0.026410569205097788,0.03293080182658375,0.015503933876276188,0.015503875968992248,0.01782543352455907,0.05714285714285714,0.008333400000000069,0.01646843549862763,0.05000000611249998,0.018083182640144666,0.06896462433623919,0.022703684774988808,0.04288371593998231,0.0234375
1990-01-04,0.013244925047164239,0.006472491909385114,0.00948989579895196,0.011872605964040566,0.011914968100417362,0.023467995029653077,0.02112666651302333,0.035088160541606114,0.03278685299650575,0.014545454545454545,0.021439516070251557,0.014492753623188406,0.03571428571428571,0.02028397565922921,0.05426108527131792,0.02541544477028348
1990-01-05,0.03947410110798932,0.008658008658008658,0.021660623098014368,0.02052953980267938,0.013769429462244822,0.026454984126984084,0.02768161508569175,0.0425531914893617,0.012072434218996082,0.0091324200913242,0.012422422628757994,0.025594149908592323,0.046295703703703624,0.008032128514056224,0.023812063492063395,0.04480651731160896
1990-01-08,0.03322195348837215,0.013015184381778741,0.035692323818017395,0.010764318592772482,0.017331071838776347,0.018842552019839073,0.030769209584120903,0.02105217772863371,0.01612906425598287,0.016589861751152075,0.02748091262635071,0.03364485981308411,0.03203689210278416,0.016194331983805668,0.016064236383310674,0.03954214360041623
1990-01-09,0.026666447644491185,0.010857763300760043,0.008722752620134262,0.016051395131164617,0.008733581927747808,0.02929425268394935,0.02020204303313058,0.020906364675932678,0.01606419277108427,0.012999071494893221,0.012158115670033496,0.03364485981308411,0.0318909475147594,0.026130522942358302,0.008032128514056224,0.035676810073452254
1990-01-10,0.026666447644491185,0.01293103448275862,0.012484389254807092,0.009620563381923165,0.0070052197403556,0.013245012060874278,0.030769209584120903,0.02702702702702703,0.03265302803831788,0.01674418604651163,0.01219518255502496,0.01841620626151013,0.031746326602641546,0.03834523263966209,0.020203326192049207,0.023182297154899896
1990-01-11,0.05110710175322913,0.03056768558951965,0.016260134802239565,0.039516960080627855,0.014109415607051552,0.026954199170305154,0.017330906791534508,0.05517238944115224,0.008298722129439337,0.009319664492078284,0.015455967486986792,0.026465028355387523,0.027649171568907973,0.012422360248447204,0.01639344262295082,0.03683640303358613
1990-01-12,0.04946995907053466,0.008849557522123894,0.0062774643310046715,0.01971509233979479,0.014184329001963572,0.01849407642278389,0.01745200738972375,0.02758619472057612,0.02078998718020808,0.01486988847583643,0.015267191377657799,0.03759398496240601,0.01843317428699007,0.012422360248447204,0.00823045267489712,0.015167930660888408
1990-01-15,0.0291968535350315,0.01805869074492099,0.020460397544698982,0.024858797579423265,0.014492823763556817,0.02396804312049093,0.02150540221617887,0.028169014084507043,0.04219402531645563,0.02666666666666667,0.01880866722614671,0.047244094488188976,0.0329414826076586,0.020964360587002098,0.029348743413840948,0.03337041156840934
1990-01-16,0.04285759999999996,0.0068415051311288486,0.019493166398955788,0.023986428545419,0.016498686267246623,0.01081083254930632,0.010772186691227313,0.028368781449631113,0.008510604400180465,0.013552758954501452,0.012539165987755436,0.03125,0.03248289076820188,0.017167381974248927,0.02141189110962499,0.015783540022547914
1990-01-17,0.06642054220395324,0.01611047180667434,0.031413630063583824,0.03524727090928587,0.02770069634268145,0.0276243311864715,0.02836898679282402,0.07560179780579024,0.01279317740872247,0.02904162633107454,0.03125003310937417,0.03564356435643564,0.046511018712999126,0.010953041948527198,0.03063599519369461,0.045454545454545456
1990-01-18,0.05166053490557694,0.025611175785797437,0.010322551692508059,0.034617506006413036,0.0329067450170708,0.03225806451612903,0.02486695408697549,0.02631578947368421,0.02564102564102564,0.02666666666666667,0.01880866722614671,0.01949317738791423,0.03652966968995954,0.01312910284463895,0.034482758620689655,0.03611738148984198
